index_code,date,open,close,low,high,volume,money,change
sh000001,2015/12/11,3441.60,3434.58,3410.92,3455.55,182908878.00,245076420000.00,-0.01 
sh000001,2015/12/10,3469.81,3455.50,3446.27,3503.65,200427517.00,279499710000.00,0.00 
sh000001,2015/12/9,3462.58,3472.44,3454.88,3495.70,195698845.00,267854870000.00,0.00 
sh000001,2015/12/8,3518.65,3470.07,3466.79,3518.65,224367310.00,297821730000.00,-0.02 
sh000001,2015/12/7,3529.81,3536.93,3506.62,3543.95,208302579.00,280561590000.00,0.00 
sh000001,2015/12/4,3558.15,3524.99,3510.41,3568.97,251736411.00,319766840000.00,-0.02 
sh000001,2015/12/3,3525.73,3584.82,3517.23,3591.73,281111255.00,338859090000.00,0.01 
sh000001,2015/12/2,3450.28,3536.91,3427.66,3538.85,301491480.00,369183040000.00,0.02 
sh000001,2015/12/1,3442.44,3456.31,3417.54,3483.41,252390755.00,330256750000.00,0.00 
sh000001,2015/11/30,3433.85,3445.41,3327.81,3470.37,304197903.00,387503650000.00,0.00 
sh000001,2015/11/27,3616.54,3436.30,3412.43,3621.90,354287525.00,464311250000.00,-0.05 
sh000001,2015/11/26,3659.57,3635.55,3629.86,3668.38,306761582.00,426247410000.00,0.00 
sh000001,2015/11/25,3614.07,3647.93,3607.52,3648.37,273024857.00,380802940000.00,0.01 
sh000001,2015/11/24,3602.89,3616.11,3563.10,3616.48,248810524.00,327758500000.00,0.00 
sh000001,2015/11/23,3630.87,3610.31,3598.87,3654.75,315997474.00,414148230000.00,-0.01 
sh000001,2015/11/20,3620.79,3630.50,3607.92,3640.53,310801972.00,413910910000.00,0.00 
sh000001,2015/11/19,3573.78,3617.06,3561.04,3618.21,247915576.00,328442610000.00,0.01 
sh000001,2015/11/18,3605.06,3568.47,3558.70,3617.07,297580734.00,392338750000.00,-0.01 
sh000001,2015/11/17,3629.98,3604.79,3598.07,3678.27,383575468.00,521520360000.00,0.00 
sh000001,2015/11/16,3522.46,3606.96,3519.42,3607.61,276187057.00,369421830000.00,0.01 
sh000001,2015/11/13,3600.76,3580.84,3564.81,3632.56,345870933.00,468668660000.00,-0.01 
sh000001,2015/11/12,3656.82,3632.90,3603.23,3659.31,361717600.00,482832630000.00,0.00 
sh000001,2015/11/11,3635.00,3650.25,3605.62,3654.88,360972651.00,467822210000.00,0.00 
sh000001,2015/11/10,3617.40,3640.49,3607.89,3669.53,429746576.00,560055120000.00,0.00 
sh000001,2015/11/9,3588.50,3646.88,3588.50,3673.76,503016682.00,636184060000.00,0.02 
sh000001,2015/11/6,3514.44,3590.03,3508.83,3596.38,42916703300.00,543282000000.00,0.02 
sh000001,2015/11/5,3459.22,3522.82,3455.53,3585.66,55325494700.00,678675000000.00,0.02 
sh000001,2015/11/4,3325.62,3459.64,3325.62,3459.65,33907873000.00,426104000000.00,0.04 
sh000001,2015/11/3,3330.32,3316.70,3302.18,3346.28,19289742800.00,244361000000.00,0.00 
sh000001,2015/11/2,3337.58,3325.09,3322.31,3391.06,23095112900.00,286019000000.00,-0.02 
sh000001,2015/10/30,3380.28,3382.56,3346.59,3417.20,24359511800.00,307267000000.00,0.00 
sh000001,2015/10/29,3387.77,3387.32,3362.51,3411.71,23567602600.00,294508000000.00,0.00 
sh000001,2015/10/28,3417.01,3375.20,3367.23,3439.76,29352328400.00,361656000000.00,-0.02 
sh000001,2015/10/27,3409.14,3434.34,3332.62,3441.57,32817276800.00,408887000000.00,0.00 
sh000001,2015/10/26,3448.65,3429.58,3402.00,3457.52,36556085300.00,453943000000.00,0.01 
sh000001,2015/10/23,3377.55,3412.43,3360.22,3422.02,34737285400.00,425263000000.00,0.01 
sh000001,2015/10/22,3292.29,3368.74,3282.99,3373.78,32373934100.00,375452000000.00,0.01 
sh000001,2015/10/21,3428.56,3320.68,3265.44,3447.26,45845542800.00,518509000000.00,-0.03 
sh000001,2015/10/20,3377.55,3425.33,3357.86,3425.52,31897375800.00,383583000000.00,0.01 
sh000001,2015/10/19,3401.63,3386.70,3355.57,3423.40,37811218300.00,453304000000.00,0.00 
sh000001,2015/10/16,3358.30,3391.35,3334.85,3393.02,39546057500.00,459448000000.00,0.02 
sh000001,2015/10/15,3255.03,3338.07,3254.39,3338.30,31628385100.00,362566000000.00,0.02 
sh000001,2015/10/14,3280.02,3262.44,3256.25,3307.32,29507773900.00,330278000000.00,-0.01 
sh000001,2015/10/13,3262.16,3293.23,3253.25,3298.63,29715313300.00,334806000000.00,0.00 
sh000001,2015/10/12,3193.54,3287.66,3188.41,3318.71,38629471500.00,435541000000.00,0.03 
sh000001,2015/10/9,3146.64,3183.15,3137.79,3192.72,23485144500.00,256379000000.00,0.01 
sh000001,2015/10/8,3156.08,3143.36,3133.13,3172.28,23427605000.00,258830000000.00,0.03 
sh000001,2015/9/30,3052.84,3052.78,3039.74,3073.30,14664244900.00,156569000000.00,0.00 
sh000001,2015/9/29,3055.22,3038.14,3021.16,3068.30,16322267300.00,169687000000.00,-0.02 
sh000001,2015/9/28,3085.57,3100.76,3042.31,3103.07,15672753000.00,166422000000.00,0.00 
sh000001,2015/9/25,3130.85,3092.35,3063.00,3149.95,23626387100.00,248971000000.00,-0.02 
sh000001,2015/9/24,3126.49,3142.69,3109.69,3151.17,21288772300.00,231369000000.00,0.01 
sh000001,2015/9/23,3137.72,3115.89,3104.74,3164.04,23632267000.00,257560000000.00,-0.02 
sh000001,2015/9/22,3161.32,3185.62,3152.48,3213.48,27478615400.00,305071000000.00,0.01 
sh000001,2015/9/21,3072.09,3156.54,3060.86,3159.88,23989735400.00,259797000000.00,0.02 
sh000001,2015/9/18,3100.28,3097.92,3070.34,3122.05,20917539800.00,218442000000.00,0.00 
sh000001,2015/9/17,3131.98,3086.06,3085.31,3204.70,31760289200.00,337393000000.00,-0.02 
sh000001,2015/9/16,2998.04,3152.26,2983.54,3182.93,27752452400.00,281992000000.00,0.05 
sh000001,2015/9/15,3043.81,3005.17,2983.92,3081.70,24919444500.00,243905000000.00,-0.04 
sh000001,2015/9/14,3221.17,3114.80,3049.23,3229.48,34663115800.00,373577000000.00,-0.03 
sh000001,2015/9/11,3189.48,3200.23,3163.45,3223.76,22455782200.00,252769000000.00,0.00 
sh000001,2015/9/10,3190.55,3197.89,3178.90,3243.28,27326175900.00,299581000000.00,-0.01 
sh000001,2015/9/9,3182.55,3243.09,3165.70,3256.74,37532797800.00,412991000000.00,0.02 
sh000001,2015/9/8,3054.44,3170.45,3011.12,3174.71,25541546500.00,263910000000.00,0.03 
sh000001,2015/9/7,3149.38,3080.42,3066.30,3217.58,29646811400.00,302690000000.00,-0.03 
sh000001,2015/9/2,3027.68,3160.17,3019.09,3194.49,43817015300.00,423262000000.00,0.00 
sh000001,2015/9/1,3157.83,3166.62,3053.74,3180.33,43243246800.00,420412000000.00,-0.01 
sh000001,2015/8/31,3203.56,3205.99,3109.16,3207.86,39743138200.00,431069000000.00,-0.01 
sh000001,2015/8/28,3125.26,3232.35,3102.95,3235.84,44313692800.00,474631000000.00,0.05 
sh000001,2015/8/27,2978.03,3083.59,2906.49,3085.42,40030839800.00,404289000000.00,0.05 
sh000001,2015/8/26,2980.79,2927.29,2850.71,3092.04,46669966300.00,461789000000.00,-0.01 
sh000001,2015/8/25,3004.13,2964.97,2947.94,3123.03,35232511000.00,358736000000.00,-0.08 
sh000001,2015/8/24,3373.48,3209.91,3191.88,3388.36,33467179200.00,358819000000.00,-0.08 
sh000001,2015/8/21,3609.96,3507.74,3490.54,3652.84,36992047900.00,450616000000.00,-0.04 
sh000001,2015/8/20,3754.57,3664.29,3663.61,3788.01,39006305700.00,501195000000.00,-0.03 
sh000001,2015/8/19,3646.80,3794.11,3558.38,3811.43,47539623900.00,599513000000.00,0.01 
sh000001,2015/8/18,3999.13,3748.16,3743.39,4006.34,54377082200.00,722467000000.00,-0.06 
sh000001,2015/8/17,3947.84,3993.67,3907.40,3994.54,46043206000.00,626328000000.00,0.01 
sh000001,2015/8/14,3976.41,3965.34,3939.84,4000.68,46798821700.00,647466000000.00,0.00 
sh000001,2015/8/13,3869.91,3954.56,3838.16,3955.79,43007330300.00,578686000000.00,0.02 
sh000001,2015/8/12,3881.23,3886.32,3871.14,3937.77,44268827800.00,597050000000.00,-0.01 
sh000001,2015/8/11,3928.81,3927.91,3891.18,3970.34,53892346000.00,712290000000.00,0.00 
sh000001,2015/8/10,3786.03,3928.42,3775.85,3943.62,49730431900.00,652622000000.00,0.05 
sh000001,2015/8/7,3692.61,3744.21,3686.30,3756.74,34075718400.00,445485000000.00,0.02 
sh000001,2015/8/6,3625.50,3661.54,3614.74,3710.57,27407466300.00,357515000000.00,-0.01 
sh000001,2015/8/5,3745.65,3694.57,3676.39,3782.35,36642297900.00,483850000000.00,-0.02 
sh000001,2015/8/4,3621.86,3756.55,3601.29,3757.03,36290166600.00,464036000000.00,0.04 
sh000001,2015/8/3,3614.99,3622.91,3549.50,3648.94,36396873100.00,445992000000.00,-0.01 
sh000001,2015/7/31,3655.67,3663.73,3620.17,3729.51,35095574500.00,460472000000.00,-0.01 
sh000001,2015/7/30,3773.79,3705.77,3685.96,3844.37,45794322800.00,615978000000.00,-0.02 
sh000001,2015/7/29,3689.83,3789.17,3612.06,3792.07,43435208500.00,557492000000.00,0.03 
sh000001,2015/7/28,3573.14,3663.00,3537.36,3762.53,56333004200.00,685058000000.00,-0.02 
sh000001,2015/7/27,3985.57,3725.56,3720.44,4051.16,55600324700.00,721298000000.00,-0.08 
sh000001,2015/7/24,4124.76,4070.91,4044.83,4184.45,62742486000.00,843022000000.00,-0.01 
sh000001,2015/7/23,4022.27,4123.92,4019.04,4132.61,56358596600.00,743532000000.00,0.02 
sh000001,2015/7/22,3996.43,4026.05,3960.86,4042.34,52073222500.00,678832000000.00,0.00 
sh000001,2015/7/21,3939.90,4017.68,3912.80,4041.82,50428802800.00,646417000000.00,0.01 
sh000001,2015/7/20,3948.42,3992.11,3927.12,4021.33,53910671400.00,688256000000.00,0.01 
sh000001,2015/7/17,3831.42,3957.35,3814.15,3994.48,48172626800.00,593067000000.00,0.04 
sh000001,2015/7/16,3758.51,3823.18,3688.44,3877.51,49225620000.00,569859000000.00,0.00 
sh000001,2015/7/15,3874.97,3805.70,3741.25,3914.27,60130132400.00,700537000000.00,-0.03 
sh000001,2015/7/14,3958.37,3924.49,3855.56,4035.44,67055879900.00,830075000000.00,-0.01 
sh000001,2015/7/13,3918.99,3970.39,3858.64,4030.20,64348900700.00,782431000000.00,0.02 
sh000001,2015/7/10,3707.46,3877.80,3677.44,3959.22,58636425500.00,680434000000.00,0.05 
sh000001,2015/7/9,3432.45,3709.33,3373.54,3748.48,65691461200.00,673311000000.00,0.06 
sh000001,2015/7/8,3467.40,3507.19,3421.53,3599.25,68035692200.00,700248000000.00,-0.06 
sh000001,2015/7/7,3654.78,3727.13,3585.40,3750.57,69881868800.00,776073000000.00,-0.01 
sh000001,2015/7/6,3975.21,3775.91,3653.04,3975.21,83113928600.00,943420000000.00,0.02 
sh000001,2015/7/3,3793.71,3686.92,3629.56,3927.13,54816311100.00,648054000000.00,-0.06 
sh000001,2015/7/2,4058.62,3912.77,3795.25,4080.39,58601561200.00,736007000000.00,-0.03 
sh000001,2015/7/1,4214.15,4053.70,4043.37,4317.05,59876942700.00,838071000000.00,-0.05 
sh000001,2015/6/30,4006.75,4277.22,3847.88,4279.97,70917663300.00,941525000000.00,0.06 
sh000001,2015/6/29,4289.77,4053.03,3875.05,4297.48,67378634900.00,904271000000.00,-0.03 
sh000001,2015/6/26,4399.93,4192.87,4139.53,4456.90,56521787400.00,787836000000.00,-0.07 
sh000001,2015/6/25,4711.76,4527.78,4483.55,4720.70,57279753300.00,865380000000.00,-0.03 
sh000001,2015/6/24,4604.58,4690.15,4552.13,4691.77,54300370900.00,815063000000.00,0.02 
sh000001,2015/6/23,4471.61,4576.49,4264.77,4577.94,47352612800.00,693617000000.00,0.02 
sh000001,2015/6/19,4689.93,4478.36,4476.50,4744.08,45268962600.00,685458000000.00,-0.06 
sh000001,2015/6/18,4942.52,4785.36,4780.87,4966.77,50744089900.00,785845000000.00,-0.04 
sh000001,2015/6/17,4890.55,4967.90,4767.22,4983.66,53710116800.00,830267000000.00,0.02 
sh000001,2015/6/16,5004.41,4887.43,4842.10,5029.68,55080140700.00,895421000000.00,-0.03 
sh000001,2015/6/15,5174.42,5062.99,5048.74,5176.80,63780398400.00,1064990000000.00,-0.02 
sh000001,2015/6/12,5143.34,5166.35,5103.40,5178.19,62562785400.00,1060170000000.00,0.01 
sh000001,2015/6/11,5101.44,5121.59,5050.77,5122.46,56399052200.00,974671000000.00,0.00 
sh000001,2015/6/10,5049.20,5106.04,5001.49,5164.16,59696900100.00,1006430000000.00,0.00 
sh000001,2015/6/9,5145.98,5113.53,5042.96,5147.45,72989381800.00,1150810000000.00,0.00 
sh000001,2015/6/8,5045.69,5131.88,4997.48,5146.95,85503508500.00,1309920000000.00,0.02 
sh000001,2015/6/5,5016.09,5023.10,4898.07,5051.63,77224081200.00,1232300000000.00,0.02 
sh000001,2015/6/4,4912.95,4947.10,4647.41,4947.97,67495240200.00,1052270000000.00,0.01 
sh000001,2015/6/3,4924.38,4909.98,4822.44,4942.07,61145383900.00,1010180000000.00,0.00 
sh000001,2015/6/2,4844.70,4910.53,4797.55,4911.57,62374809900.00,998744000000.00,0.02 
sh000001,2015/6/1,4633.10,4828.74,4615.23,4829.50,59338903500.00,934454000000.00,0.05 
sh000001,2015/5/29,4603.47,4611.74,4431.56,4698.19,61126240900.00,955347000000.00,0.00 
sh000001,2015/5/28,4943.74,4620.27,4614.24,4986.50,78296459200.00,1247910000000.00,-0.07 
sh000001,2015/5/27,4932.85,4941.71,4857.06,4958.16,68116537900.00,1116260000000.00,0.01 
sh000001,2015/5/26,4854.85,4910.90,4779.08,4911.69,70489282900.00,1138500000000.00,0.02 
sh000001,2015/5/25,4660.08,4813.80,4656.83,4814.67,68246139100.00,1079290000000.00,0.03 
sh000001,2015/5/22,4584.98,4657.60,4562.99,4658.27,65559128700.00,1007170000000.00,0.03 
sh000001,2015/5/21,4456.44,4529.42,4438.26,4530.48,46499652000.00,729081000000.00,0.02 
sh000001,2015/5/20,4434.98,4446.29,4432.28,4520.54,51410622300.00,806081000000.00,0.01 
sh000001,2015/5/19,4285.78,4417.55,4285.78,4418.40,43673522400.00,693813000000.00,0.03 
sh000001,2015/5/18,4277.90,4283.49,4260.51,4324.83,38005745200.00,594559000000.00,-0.01 
sh000001,2015/5/15,4366.82,4308.69,4278.55,4366.82,43970619800.00,665966000000.00,-0.02 
sh000001,2015/5/14,4372.82,4378.31,4329.04,4397.75,44907793500.00,669882000000.00,0.00 
sh000001,2015/5/13,4402.38,4375.76,4342.48,4415.63,51049047500.00,780755000000.00,-0.01 
sh000001,2015/5/12,4342.37,4401.22,4317.98,4402.31,52186640800.00,793464000000.00,0.02 
sh000001,2015/5/11,4231.27,4333.58,4187.82,4334.88,48875051500.00,715247000000.00,0.03 
sh000001,2015/5/8,4152.98,4205.92,4099.04,4206.86,39742809400.00,559649000000.00,0.02 
sh000001,2015/5/7,4197.90,4112.21,4108.01,4213.76,39456665300.00,540206000000.00,-0.03 
sh000001,2015/5/6,4311.64,4229.27,4187.37,4376.35,48173299300.00,716536000000.00,-0.02 
sh000001,2015/5/5,4479.85,4298.71,4282.24,4488.87,57285859600.00,805566000000.00,-0.04 
sh000001,2015/5/4,4441.34,4480.46,4387.43,4487.57,49417339800.00,717541000000.00,0.01 
sh000001,2015/4/30,4483.01,4441.66,4441.05,4507.34,52672797500.00,774349000000.00,-0.01 
sh000001,2015/4/29,4446.12,4476.62,4398.64,4499.95,51983420200.00,752402000000.00,0.00 
sh000001,2015/4/28,4527.64,4476.22,4432.90,4572.39,76767641600.00,1061170000000.00,-0.01 
sh000001,2015/4/27,4441.93,4527.40,4441.93,4529.74,67108852100.00,975242000000.00,0.03 
sh000001,2015/4/24,4355.95,4393.69,4318.12,4416.38,62855499600.00,916873000000.00,0.00 
sh000001,2015/4/23,4414.49,4414.51,4358.84,4444.41,66734466100.00,963025000000.00,0.00 
sh000001,2015/4/22,4304.60,4398.49,4297.95,4400.19,68030508600.00,976877000000.00,0.02 
sh000001,2015/4/21,4212.19,4293.62,4188.57,4294.38,63447062700.00,862448000000.00,0.02 
sh000001,2015/4/20,4301.35,4217.08,4190.68,4356.00,85713280700.00,1147600000000.00,-0.02 
sh000001,2015/4/17,4254.72,4287.30,4238.91,4317.22,70170620500.00,915633000000.00,0.02 
sh000001,2015/4/16,4055.92,4194.82,4031.24,4195.31,55124295600.00,712082000000.00,0.03 
sh000001,2015/4/15,4135.65,4084.16,4069.01,4175.49,61300581200.00,773126000000.00,-0.01 
sh000001,2015/4/14,4125.78,4135.57,4091.26,4168.35,61068354100.00,814645000000.00,0.00 
sh000001,2015/4/13,4072.72,4121.72,4057.29,4128.07,58981422700.00,781667000000.00,0.02 
sh000001,2015/4/10,3947.49,4034.31,3929.32,4040.35,48428361900.00,668504000000.00,0.02 
sh000001,2015/4/9,4006.13,3957.53,3900.03,4016.40,58517682500.00,816711000000.00,-0.01 
sh000001,2015/4/8,3976.53,3994.81,3903.65,4000.22,61808541900.00,839159000000.00,0.01 
sh000001,2015/4/7,3899.42,3961.38,3891.73,3961.67,57044753500.00,746424000000.00,0.03 
sh000001,2015/4/3,3803.38,3863.93,3792.21,3864.41,47303331100.00,635651000000.00,0.01 
sh000001,2015/4/2,3827.69,3825.78,3775.89,3835.45,47929967300.00,632029000000.00,0.00 
sh000001,2015/4/1,3748.34,3810.29,3742.21,3817.08,44745831900.00,592418000000.00,0.02 
sh000001,2015/3/31,3822.99,3747.90,3737.04,3835.57,56167603700.00,721295000000.00,-0.01 
sh000001,2015/3/30,3710.61,3786.57,3710.61,3795.94,56470235300.00,692125000000.00,0.03 
sh000001,2015/3/27,3686.13,3691.10,3656.83,3710.48,40894516500.00,509298000000.00,0.00 
sh000001,2015/3/26,3641.94,3682.10,3615.01,3707.32,48864720300.00,619516000000.00,0.01 
sh000001,2015/3/25,3680.95,3660.73,3634.56,3693.15,52188634800.00,645499000000.00,-0.01 
sh000001,2015/3/24,3692.57,3691.41,3600.70,3715.87,63955466900.00,754885000000.00,0.00 
sh000001,2015/3/23,3640.10,3687.73,3635.49,3688.25,53606283200.00,661575000000.00,0.02 
sh000001,2015/3/20,3587.08,3617.32,3569.38,3632.34,51666166900.00,651772000000.00,0.01 
sh000001,2015/3/19,3576.02,3582.27,3546.84,3600.68,53734661400.00,612250000000.00,0.00 
sh000001,2015/3/18,3510.50,3577.30,3503.85,3577.66,54521714400.00,617367000000.00,0.02 
sh000001,2015/3/17,3469.60,3502.85,3459.69,3504.12,52093950600.00,601501000000.00,0.02 
sh000001,2015/3/16,3391.16,3449.31,3377.09,3449.31,39913243000.00,479355000000.00,0.02 
sh000001,2015/3/13,3359.49,3372.91,3352.15,3391.26,32841015400.00,374041000000.00,0.01 
sh000001,2015/3/12,3314.81,3349.32,3300.49,3360.05,35729510500.00,407192000000.00,0.02 
sh000001,2015/3/11,3289.59,3290.90,3278.47,3325.05,28298553500.00,327573000000.00,0.00 
sh000001,2015/3/10,3289.09,3286.07,3277.10,3309.92,28581757600.00,329956000000.00,0.00 
sh000001,2015/3/9,3224.31,3302.41,3198.37,3307.70,32149544000.00,359928000000.00,0.02 
sh000001,2015/3/6,3248.04,3241.19,3234.53,3266.93,28291579100.00,328344000000.00,0.00 
sh000001,2015/3/5,3264.09,3248.48,3221.67,3266.64,32066358500.00,373580000000.00,-0.01 
sh000001,2015/3/4,3264.18,3279.53,3250.48,3286.59,29363952200.00,346790000000.00,0.01 
sh000001,2015/3/3,3317.70,3263.05,3260.43,3317.70,38204461900.00,441593000000.00,-0.02 
sh000001,2015/3/2,3332.72,3336.29,3298.67,3336.76,34644567100.00,410260000000.00,0.01 
sh000001,2015/2/27,3296.83,3310.30,3291.01,3324.55,29916371700.00,335020000000.00,0.00 
sh000001,2015/2/26,3222.15,3298.36,3202.19,3300.62,30126387500.00,334347000000.00,0.02 
sh000001,2015/2/25,3256.48,3228.84,3215.55,3257.22,23334809400.00,265143000000.00,-0.01 
sh000001,2015/2/17,3230.88,3246.91,3230.77,3255.73,22833262400.00,263340000000.00,0.01 
sh000001,2015/2/16,3206.14,3222.36,3195.88,3228.85,22379742900.00,265951000000.00,0.01 
sh000001,2015/2/13,3186.81,3203.83,3182.79,3237.16,26129043600.00,293018000000.00,0.01 
sh000001,2015/2/12,3157.96,3173.42,3134.24,3181.77,19459230900.00,229692000000.00,0.00 
sh000001,2015/2/11,3145.77,3157.70,3139.05,3166.42,17284009400.00,210863000000.00,0.01 
sh000001,2015/2/10,3090.49,3141.59,3084.25,3142.10,19381713900.00,225085000000.00,0.02 
sh000001,2015/2/9,3063.51,3095.12,3049.11,3119.03,20610838300.00,240720000000.00,0.01 
sh000001,2015/2/6,3120.09,3075.91,3052.94,3129.54,24674966600.00,266503000000.00,-0.02 
sh000001,2015/2/5,3251.21,3136.53,3135.82,3251.21,30613930500.00,348267000000.00,-0.01 
sh000001,2015/2/4,3212.82,3174.13,3171.14,3238.98,24909808600.00,290155000000.00,-0.01 
